"media_name","doc_id","doc_time","doc"
观察者网,"4831050263954113","2022-11-01 17:40:01",随着美国国会中期选举临近，美国总统拜登考虑祭出打压油价的新招——对能源企业征收暴利税。当地时间10月31日，拜登在讲话中提到：“过去6个月中，美国最大的6家能源巨头的利润总和超过了1000亿美元，我认为这个利润规模太离谱了。”拜登指出，这些创纪录的利润是俄乌冲突带来的意外之财，但石油公司没有把额外收益用于增产，也没有通过降价向消费者让利。拜登表示，将与国会联手研究如何对石油公司征收暴利税。在欧美各国通胀居高不下的背景下，除了美国，其他国家和地区也先后推出了类似的措施。今年5月，英国宣布对石油和天然气公司征收25%的暴利税；9月，欧盟提出对能源企业的超额利润征收33%的临时税。
凤凰网,"4767659340071229","2022-05-10 19:27:07",俄罗斯在俄乌战争期间的第77个胜利日举行阅兵，展现出哪些独特的亮点？俄军风貌是否会有改变？凤凰军事主持人连昕连线宋忠平、唐驳虎、张学锋、炮霸707等多位军事专家持续解读。
澎湃新闻,"4831375720450960","2022-11-02 15:13:17",当地时间10月31日，拜登在白宫发表讲话时批评石油公司赚取的“巨额利润”是俄乌冲突带来的“意外之财”，他还敦促石油公司降低油价，让美国人“喘口气”。
观察者网,"4831503391658166","2022-11-02 23:40:36",自俄乌冲突爆发后，能源极度依赖进口的日本不计后果同美欧国家站在同一阵营，甚至冲在对俄制裁前线。近日，日本五大贸易公司之一的负责人向外媒坦言，如不继续从俄购买石油和天然气，日本将无法“生存”。据英国《金融时报》11月1日报道，伊藤忠商事株式会社首席执行官冈藤正广在东京总部办公室内接受该报采访时表示，目前，日本是否继续使用俄罗斯能源取决于美国和欧洲对日本立场的支持。“不同于欧洲和美国，日本几乎所有能源需求都依赖海外进口，因此，因制裁而完全切断与俄罗斯的联系是不可能的。”日本的石油和天然气资源匮乏，能源自给率仅约一成。2021年，从俄罗斯进口的石油约占日本进口总额的3.6%，液化天然气的进口占比则达到8.8%。冈藤正广说，“事实上，如果不继续从俄罗斯进口，我们将无法生存，即使可进口的量很少”。
凤凰网,"4756754824956197","2022-04-10 17:16:29",基辅解围后，信心大增的。俄军还有哪些优势？乌军能否收复赫尔松，甚至是克里米亚？北约陆军最高指挥官真被围困在马里乌波尔？凤凰网《唐驳虎》独家解析。
,"4743203406480881","2022-03-04 07:47:59","当地时间3月3日，俄乌第二轮会谈结束，俄乌双方就临时停火建立人道主义通道达成一致。双方近期将围绕建立人道主义走廊保持沟通和合作。俄罗斯代表团团长梅津斯基表示，今天谈判解决的最主要问题是拯救平民。他还表示，俄乌两国国防部的代表就为平民开辟人道主义走廊的形式，以及为保证平民撤离宣布临时停火的方式都达成了一致，这是谈判实质性的进展。俄罗斯谈判代表团成员、国家杜马国际事务委员会主席列斯卢茨基表示，俄方与乌方达成的一致意见还需要两国议会批准。第三轮谈判将于近期举行，不排除俄乌双方还将进行多轮谈判。乌克兰总统办公厅主任顾问波多利亚克表示，乌方没有得到希望的结果。波多利亚克说，可以考虑在设立人道主义走廊的地区，疏散平民期间停火。为此，双方将尽快构建特殊的沟通和互动渠道以及相应的后勤程序。"
,"4743183806759677","2022-03-04 06:30:06","当地时间3月3日20时30分许，俄乌第二轮会谈结束，俄乌双方就临时停火建立人道主义通道达成一致。双方近期将围绕建立人道主义走廊保持沟通和合作。乌克兰方面表示没有获得期待的谈判结果。俄乌一致同意尽快召开第三轮谈判。"
,"4743671793322209","2022-03-05 14:49:11","据央视消息，俄罗斯国防部当地时间3月5日宣布，莫斯科时间当天10时起，俄军在乌克兰进入静默状态，并为平民离开马里乌波尔和沃尔诺瓦哈开放人道主义通道，人道主义走廊和撤离路线已与乌克兰方面达成一致。"
,"4742121150484306","2022-03-01 08:07:29","俄罗斯代表团团长、总统助理梅金斯基28日说，俄乌代表团的谈判已经结束，双方一致同意继续谈判。据塔斯社28日报道，梅金斯基在会谈结束后对媒体说，谈判持续约5个小时。谈判过程中俄乌代表详细讨论了议程上的所有议题，找到一些双方预测可以达成一致立场的议题。“最重要的是，双方一致同意继续谈判。”梅金斯基表示，双方代表团将在下次会面前就谈判立场分别与本国领导人进行磋商。按照相关约定，下次谈判将在未来几天内在白俄罗斯与波兰边境举行。据报道，俄乌代表团28日在白俄罗斯戈梅利州举行谈判。出于安全原因，确切的会面地点并未公布。"
,"4743245932791116","2022-03-04 10:36:58","俄罗斯与乌克兰的第二轮谈判3日在白俄罗斯境内的别洛韦日森林结束。双方就建立人道主义通道达成谅解，并同意尽快举行第三轮谈判。俄罗斯总统普京3日在与俄联邦安全会议成员举行的视频会议上说，俄方的特别军事行动正严格按时间表和计划推进，各项既定任务顺利执行。——俄罗斯与乌克兰的第二轮谈判3日在白俄罗斯境内的别洛韦日森林结束。双方就建立人道主义通道达成谅解，并同意尽快举行第三轮谈判。乌克兰总统办公室顾问波多利亚克在谈判结束后说：“乌克兰没有得到需要的结果。仅仅就安排人道主义通道达成解决方案。”俄罗斯代表团团长、总统助理梅金斯基表示，本轮谈判解决的主要问题事关冲突地区的平民安全，双方“就建立人道主义通道疏散平民以及疏散平民时在人道主义通道相关区域暂时停火达成一致”。——俄罗斯总统普京3日在与俄联邦安全会议成员举行的视频会议上说，俄方的特别军事行动正严格按时间表和计划推进，各项既定任务顺利执行。他强调，“西方国家多年来在我们边境上实施反俄行动，我们不能再受到这些反俄行动的威胁”，包括来自核武器的威胁。——俄罗斯外交部发言人扎哈罗娃3日表示，俄罗斯对与乌克兰谈判自始就持开放态度。她说，谈判需双方均有参与意愿才能进行，俄方十分清楚乌方在“拖延”谈判进程。——俄罗斯总统普京与法国总统马克龙3日就乌克兰局势通电话。克里姆林宫网站3日发表声明说，普京阐释了与乌克兰谈判的原则立场与条件。俄方认为首先应磋商乌克兰“去军事化”及其中立身份，保证乌境内不再出现针对俄方的威胁。声明强调，俄方无论如何都将完成特别军事行动任务，试图拖延谈判只会导致俄方在谈判中增加额外要求。法国总统府爱丽舍宫当天对媒体透露，普京向马克龙表达了俄罗斯继续进攻的决心。马克龙表示，俄罗斯将军事行动进行到底的表态，让他对乌克兰局势前景感到“悲观”。爱丽舍宫表示，法国将继续加大对俄制裁。——俄罗斯国防部发言人科纳申科夫3日表示，西方国家向乌克兰增派私营军事公司的雇佣兵。“抵达乌克兰的外国雇佣兵正在袭击破坏俄装备和补给车队以及掩护俄方行动的飞机”。当天早些时候，乌总统泽连斯基在社交媒体发布视频称，乌克兰正准备迎接第一批“外国志愿兵”。他表示，目前第一批16000名“志愿兵”正前往乌克兰。——俄罗斯国家防御指挥中心负责人米津采夫3日表示，由于俄军采取了提供安全保障、建立人道主义通道等有效措施，过去一段时间内，累计已有588名外国公民从乌克兰危险区域撤离。——叙利亚副外长巴沙尔·贾法里3日表示，美国的傲慢行径加剧了乌克兰紧张局势，对俄罗斯经济制裁将给美国自身带来损失。他说，美国利用乌克兰问题刺激和打压俄罗斯，美国的傲慢行径推动乌克兰危机向着不断升级的方向发展。"
